Topics,Alpha,Beta,Coherence
6,0.9099999999999999,0.61,0.3299472887382106
6,0.9099999999999999,0.9099999999999999,0.3138845075213959
7,0.01,0.01,0.3495809708174079
7,0.01,0.31,0.33833703654331837
7,0.01,0.61,0.3269442550513672
7,0.01,0.9099999999999999,0.3092204589414722
7,0.31,0.01,0.35144555094765123
7,0.31,0.31,0.3293807376391894
7,0.31,0.61,0.3131632020752721
7,0.31,0.9099999999999999,0.29333805291264975
7,0.61,0.01,0.34556349122475066
7,0.61,0.31,0.3341782804542187
7,0.61,0.61,0.31416645748570743
7,0.61,0.9099999999999999,0.29955738484372346
7,0.9099999999999999,0.01,0.3428994224048231
7,0.9099999999999999,0.31,0.33752269777999866
7,0.9099999999999999,0.61,0.31519862507298246
7,0.9099999999999999,0.9099999999999999,0.32141928975592027
8,0.01,0.01,0.35274528977098635
8,0.01,0.31,0.33906042517531426
8,0.01,0.61,0.31547802488445675
8,0.01,0.9099999999999999,0.31535006496414814
8,0.31,0.01,0.35025773507117547
8,0.31,0.31,0.33448163003817
8,0.31,0.61,0.3158750510487246
8,0.31,0.9099999999999999,0.30301708733679356
8,0.61,0.01,0.3453318006960475
8,0.61,0.31,0.3393877081404966
8,0.61,0.61,0.31848688954208815
8,0.61,0.9099999999999999,0.30937809881704914
8,0.9099999999999999,0.01,0.3489292707706926
8,0.9099999999999999,0.31,0.34381578565467263
8,0.9099999999999999,0.61,0.32605655082706986
8,0.9099999999999999,0.9099999999999999,0.33434414683001457
9,0.01,0.01,0.3500353736439631
9,0.01,0.31,0.3382907410638877
9,0.01,0.61,0.3314105860759669
9,0.01,0.9099999999999999,0.34942462843556904
9,0.31,0.01,0.349401934216029
9,0.31,0.31,0.33007221342520965
9,0.31,0.61,0.32379032116965234
9,0.31,0.9099999999999999,0.3409781707546685
9,0.61,0.01,0.35432836941631923
9,0.61,0.31,0.32872202114081417
9,0.61,0.61,0.3213036954212764
9,0.61,0.9099999999999999,0.3238397901752968
9,0.9099999999999999,0.01,0.3490380417459612
9,0.9099999999999999,0.31,0.34411360217507037
9,0.9099999999999999,0.61,0.33478583076318147
9,0.9099999999999999,0.9099999999999999,0.34699460423907824
10,0.01,0.01,0.35653214203089817
10,0.01,0.31,0.3516427944883176
10,0.01,0.61,0.3373551022688789
10,0.01,0.9099999999999999,0.36391813830526826
10,0.31,0.01,0.3506453660212977
10,0.31,0.31,0.3460211544874455
10,0.31,0.61,0.3207374860301635
10,0.31,0.9099999999999999,0.35341944029203626
10,0.61,0.01,0.35225616736613297
10,0.61,0.31,0.3434763084621767
10,0.61,0.61,0.3242225789811291
10,0.61,0.9099999999999999,0.33964147282021956
10,0.9099999999999999,0.01,0.3543886103609366
10,0.9099999999999999,0.31,0.35025356209500424
10,0.9099999999999999,0.61,0.34162645850993834
10,0.9099999999999999,0.9099999999999999,0.3601878739796235
